Comment,Designator,Footprint,LCSC Part #
,IC9,QFN40P700X700X85-61T340N,
,USB1,USB-C,
0.1R 1%,R17,2512,
1K,R4 R6 R7 R16,R0201,
1K,R32 R36,0402,
1M,R1,0402,
1uF,C4,C0603,
1uF,C8 C21 C42,0201,
1uF,C58 C60,C0603,
3.3uH LQM21PN3R3MGRD,L1,0805,
4.2uH,L2 L3,SRR5228A,
4.7K,R5,R0201,
4.7uF,C18 C26 C39,0201,
4D03WGJ0332T5E,R38,742C083103JP,
7.5K,R10 R39,0402,
10K,R2 R18,0402,
10K,R19 R20 R23 R24 R25 R26,R0201,
10K,R31 R35 R45 R47 R48 R50 R51,0402,
10R,R11 R40 R46 R49,0402,
10uF,C1,C0805,
10uF,C15,0201,
10uF 50V,C6,C0603,
10uF 50V,C7,C0805,
10uF 50V,C63,C0603,
12.7K,R14 R43,0402,
12MHz,X1,WE-XTAL_CFPX-180,
15pF,C19 C20,C0402,
22uF - 10V,C36 C40 C56 C57,C1206,
22uF 25V,C35 C55,C1206,
27R,R8 R21 R22,R0201,
33K,R12 R41,0402,
33pF,C27 C54,0402,
40.2K,R13 R42,0402,
49.9K,R3,0402,
100K,R15 R44,0402,
100nF,C2 C3,C0603,
100nF,C9 C10 C11 C12 C13 C14 C16 C17,0201,
100nF,C22 C23 C24,0402,
100nF,C25,C0402,
100nF,C28 C29 C30 C31 C32 C33 C34 C37 C38 C41 C43 C44,0201,
100nF,C51 C52 C53,0402,
100nF,C67,0201,
100nF 50V,C5,C0603,
499K,R9 R37,0402,
BSS138,T2 T4,SOT23,
CAT24C512HU5IGT3,IC12,SON50P300X200X50-9T130X140N,
CHIP-FLAT-B_0603,FLIP,LEDC1608X55N_FLAT-B,
CHIP-FLAT-R_0603,FAULT,LEDC1608X55N_FLAT-R,
CYPD3177,IC1,QFN24,
DMP3013SFV,MOSFET1 MOSFET2 MOSFET3 MOSFET4,POWERDI3333-8_UX_DIO-L,
INA219BIDCNT,IC13,SOT23-8,
MCP4728,IC4,MSOP10,
MCP6001RT-I/OT,IC2 IC3 IC5 IC6 IC7 IC8,SOT23-5,
MP2315S ,IC10 IC17,SOT65P280X110-8N,
SMBJ5929B,D1 D6,DIOM5226X290N,
SP0503BAHTG-ES,ESD1,SOT143,
TP,BOOT FET_3G1 RUN RX SWCLK SWDIO TX,TP,
W25Q128JVPIQ,IC11,SON127P600X500X75-8N,
