Designator,Mid X,Mid Y,Layer,Rotation
BOOT,26.07,66.68,Top,90.0
C1,21.79,65.75,Top,180.0
C2,21.75,67.60,Top,180.0
C3,31.70,66.70,Top,270.0
C4,21.41,59.82,Top,180.0
C5,13.03,67.10,Top,0.0
C6,13.02,65.50,Top,0.0
C7,-0.50,43.84,Top,0.0
C8,29.76,73.27,Top,0.0
C9,17.99,70.85,Top,180.0
C10,17.97,74.05,Top,180.0
C11,13.87,74.00,Top,0.0
C12, 8.55,70.81,Top,0.0
C13,13.84,70.71,Top,0.0
C14, 8.54,74.06,Top,0.0
C15, 0.56,69.96,Top,270.0
C16,29.77,70.49,Top,0.0
C17,29.77,71.41,Top,0.0
C18,37.42,58.71,Top,90.0
C19,32.02,44.10,Top,90.0
C20,37.58,44.04,Top,270.0
C21,29.77,72.33,Top,0.0
C22,46.22,64.35,Top,270.0
C23,53.83,65.14,Top,0.0
C24,52.31,58.46,Top,270.0
C25,33.95,62.71,Top,90.0
C26,41.38,56.42,Top,0.0
C27,54.24,67.20,Top,180.0
C28,30.25,51.72,Top,180.0
C29,34.03,47.33,Top,270.0
C30,38.42,48.27,Top,270.0
C31,40.64,52.20,Top,0.0
C32,38.35,58.72,Top,90.0
C33,34.46,58.72,Top,90.0
C34,30.87,56.26,Top,180.0
C35,44.40,64.76,Top,270.0
C36,44.41,59.56,Top,90.0
C37,35.62,47.82,Top,270.0
C38,40.58,53.21,Top,0.0
C39,29.56,53.70,Top,180.0
C40,42.22,59.57,Top,90.0
C41,16.69,55.97,Top,90.0
C42,15.75,55.96,Top,90.0
C43,43.65,41.69,Top,180.0
C44,18.69,51.53,Top,0.0
C51,57.28,70.49,Top,180.0
C52,57.86,63.59,Top,270.0
C53,51.07,70.32,Top,180.0
C54,60.11,62.77,Top,90.0
C55,57.26,72.19,Top,180.0
C56,52.57,74.34,Top,0.0
C57,52.60,72.16,Top,0.0
C58, 7.71,67.88,Top,270.0
C60, 9.73,58.48,Top,90.0
C63,-1.91,62.04,Top,90.0
C67,26.98,52.55,Top,90.0
D1,17.78,64.70,Top,90.0
D6, 1.87,66.85,Top,180.0
ESD1,36.51,66.33,Top,270.0
FAULT,16.39,73.96,Top,270.0
FET_3G1,23.88,43.76,Top,180.0
FLIP,16.39,70.34,Top,270.0
IC1,25.98,71.56,Top,270.0
IC2,19.62,74.06,Top,90.0
IC3,19.62,70.85,Top,90.0
IC4, 2.24,72.39,Top,0.0
IC5, 5.92,74.06,Top,90.0
IC6, 5.95,70.81,Top,90.0
IC7,11.23,74.03,Top,90.0
IC8,11.23,70.74,Top,90.0
IC9,35.47,52.91,Top,0.0
IC10,49.76,64.80,Top,0.0
IC11,29.83,60.05,Top,0.0
IC12,24.88,50.94,Top,0.0
IC13,19.23,56.68,Top,270.0
IC17,57.54,67.41,Top,270.0
L1,39.98,60.10,Top,90.0
L2,48.77,59.63,Top,270.0
L3,45.91,72.73,Top,90.0
MOSFET1,21.41,62.62,Top,0.0
MOSFET2,14.09,62.58,Top,180.0
MOSFET3, 5.68,60.22,Top,90.0
MOSFET4, 7.84,64.36,Top,180.0
R1,30.20,66.66,Top,270.0
R2,23.79,59.52,Top,270.0
R3,15.54,66.24,Top,90.0
R4,26.41,74.90,Top,270.0
R5,22.54,71.33,Top,0.0
R6,16.68,72.43,Top,180.0
R7,17.80,69.03,Top,180.0
R8,40.12,56.41,Top,0.0
R9,46.23,67.51,Top,90.0
R10,48.53,68.17,Top,90.0
R11,52.31,61.54,Top,90.0
R12,51.20,67.19,Top,0.0
R13,54.25,68.30,Top,180.0
R14,51.20,68.31,Top,180.0
R15,47.34,67.51,Top,270.0
R16,35.90,46.15,Top,180.0
R17,-0.66,54.66,Top,270.0
R18,28.26,63.28,Top,0.0
R19,18.69,54.32,Top,180.0
R20,18.69,53.39,Top,180.0
R21,36.51,58.71,Top,270.0
R22,35.61,58.71,Top,270.0
R23,18.68,52.47,Top,180.0
R24,43.65,43.64,Top,0.0
R25,43.64,44.53,Top,0.0
R26,43.65,42.66,Top,0.0
R31, 2.73,59.26,Top,270.0
R32, 2.75,56.19,Top,270.0
R35,40.15,64.08,Top,0.0
R36,40.13,62.90,Top,180.0
R37,60.42,70.49,Top,0.0
R38,24.86,54.44,Top,90.0
R39,60.70,68.15,Top,0.0
R40,53.44,70.32,Top,0.0
R41,60.12,65.85,Top,270.0
R42,61.23,62.77,Top,90.0
R43,61.23,65.85,Top,90.0
R44,60.40,69.26,Top,180.0
R45, 8.32,58.62,Top,90.0
R46,14.03,55.09,Top,180.0
R47,14.66,56.69,Top,90.0
R48, 9.06,67.90,Top,270.0
R49,-0.30,63.72,Top,90.0
R50,31.40,63.29,Top,180.0
R51, 0.46,61.40,Top,0.0
RUN,28.80,66.71,Top,90.0
RX,61.49,53.87,Top,0.0
SWCLK,55.59,59.90,Top,0.0
SWDIO,55.59,57.90,Top,0.0
T2,12.45,58.65,Top,0.0
T4, 2.38,63.66,Top,270.0
TX,61.39,51.67,Top,0.0
USB1,37.10,72.49,Top,180.0
X1,34.84,44.05,Top,0.0
